content,score
Cara mengatasi anda belum melakukan aktivasi jss gimana,1
"Kok pas lagi mau ngeseks WiFi nya malah di suruh login padahal saya sudah login akun jss, kok jadi ke log out sendiri ya, tolong di perbaikin ya 🙏🙏🙏",2
"Berulang2 isi form, sampai mau selesai, harus ulang lagi.. ulang lagi. Aplikasi ga bermutu",1
Mantap,5
"Mau daftar kok susah bgt muter"" trs ke menu utama 😖",2
Servernya kok down di jam kerja 😔. Kalau maintenance knp saat hari dan jam kerja kantor. Utk mempermudah birokrasi tp knp jd menghambat dan kalau blm siap serentak manual saja dulu. Kalau begini menghambat sekali. ☹️,2
"Akses sering error,cukup mengecewakan",2
Regrestasi lambat,1
Aplikasi gak guna sudah terdaftar tp suruh login terus aneh tolong di perbaiki,1
Sulitnya mau login... Gak jadi aja aah.... Sudah dapat WA...tapi di klik gak ada opsi apapun,1
"Minta tolong diperbaiki untuk aplikasi dan sistemnya, terutama di tahap pendaftarannya trouble sekali😭",3
Alhamdllh,5
sangat membantu!!!,5
"Saya daftar pelatihan, persyaratan yg saya upload sudah lengkap, tapi tidak lolos administrasi (tidak ada keterangan berkas mana yg bikin tidak lolos)",3
Tambah lelet aja,1
"Kurang terintegrasi dgn keseluruhan sub sistem, mksh🙏",2
Erroorr terooss. Sialllll,1
Alarm notif nya mengganggu sekali,3
"Katanya sih udah sukses pendaftaran, tp link dr whatsapp tidak stuck. Percuma dong isi data dr td tp gagal donggggg tetep kudu bikin manual kekantor. Zzzzz",2
sangat membantu,5
lambat,1
istimewa,5
Aplikasi jelek mau login pake nama sendiri masak gak bisa dah di pake orang lain katanya...,1
CAHYO,3
Pelayanan bagus,5
Sangat membantu dan aplikasi ini pekerjaan saya jadi sangat terbantu,5
Semoga bermanfaat,5
Pendaftaran vaksin gk bs di buka...cm halaman putih aja,1
Sgt bagus dan membantu,5
"Parah data gw nggak ada, tulisannya hubungi helpdesk untuk di daftar manual. Eh, helpdesk nya dihubungin malah nggak pernah respon. Nggak niat emang buat layanan. Atau emang belum siap. Sekelas Jogja kok layanan ITnya gini. Parah.",1
"Mau akses wifi gabisa. Padahal udah daftar, udah verifikasi, akun sudah jadi. Tp gabisa akses wifi Jogja.... Serasa dibohongi",2
Dipake buat lihat pajek bangunan gak bisa,1
"Tidak ada yg bisa menjelaskan, yg jawab robot, untuk saya yg sudah lansia tidak jelas, monggo diperbaiki ada cs yg bisa dihubungi",1
JSS nya sering tdk konek...😓😓😓,1
Gakk bisaa terusss !!!,1
Mengapa layanan buat surat pengantar di versi yg baru malah sudah tidak ada lagi daftar warga yg akan dibuatkan surat pengantar? Padahal ini sangat membantu bagi warga yg tidak punya HP Android apalagi aplikasinya. Mohon perhatian nya.,4
"Susah utk dftar pelatihan online, di wa jg yg blz gk niat slow bgt dan gk diblz..",1
Jooooz,5
"Nice, the real aplication..",5
Aplikasi koq banyak error nya,2
"Untuk pengaduan PJU dan pelayanan Disdukcapil sudah bagus, tapi sayang untuk PELATIHAN dimana ngeklik berkas selalu masuk ke kamera terus, bukan galery (padahal syarat berkas tidak boleh lebih dari 2 MB), ujungnya diminta datang langsung ke dinas terkait untuk dibantu katanya..",4
"Aplikasinya sama sekali gak ngebantu...mau login ke linknya ajha susah bener, tulisannya terjadi kesalahan terus, sama gak bisa dibuka.. Tolong apliaksi nya diperbaiki lagi, agar memudahkan masyarakat, sama saja kalau ada aplikasi jss tp tidak bisa digunakan..ujung""nya harus ke balkot jga...",2
Ok,5
Josss,5
Gak bisa loginnn woeee,1
Mudah di acces,5
"hallo min tolong di respon secepatnya perihal masalah pendaftaran vaksinasi di aplikasi jss kenapa saya tidak bisa login dan mendapatkan info vaksin di app jss padahal sebelumnya bisa tolong perbaikannya dan saya belum mendapatkan dosis2 vaksin moderna, tolong bantuannya segera, terimakasih",1
"Aplikasi dibuka blank, apa dalam perbaikan?",2
Asn pengguna JSS,5
Good service,5
Gk bisa di gunakan mhin di tingkatkan,1
"Pernah daftar, mau masuk lagi lupa password, ngga ada bantuan apa gtu biar masuk lagi, susahnyaaa",2
Bagus sip bingit....,5
Sangat membantu saat pandemi seperti sekarang.. tks,5
"Aplikasi jelek, lemot",1
"aplikasi rusak..sebagai warga jogja kecewa sih,niat pngen lewat online tp mlah aplikasi.nya eror gini..ujung""nya harus ke balkot urus manual",1
Mudah di operasikan,5
Bagus banget,5
Gimana cara Promosi jualan ke DODOLAN ko susah bgt lemot,1
praktis banget,5
Bagus dan bermanfaat,5
Aplikasi kurang sempurna,1
😁,5
Mantap sekali coy 👍🙏👍,5
Susah aplikasinya.. Ngurus Apa apa harus online kasian untuk orang2 yang gapunya hp.. Saya datang ke capil disuruh download apl ini bukanya dipermudah malah dipersulit.. Dari 3 hr lalu gabisa dibuka tiap tabnya selalu warna putih.. Tolong untuk pegawai pemerintah mohon dengan sangat jangan dipersulit..,1
"Saya belum pernah vaksin, bagaimana caranya",5
Siip update selalu.. cari bug nya biar jossss,5
Bagus,5
Sudah lebih baik,3
Nunggu lama tau2 ditolak permohonannya. Padahal syarat sudah lengkap,5
"teruntuk developer apk JSS Apk y uda gud,tampilan y ok simpel mudah d mengerti. E tapi Fungsional apk sangat kurang 1.Isi formulir malah di alihkan ke browser 2.Nomor Pengaduan yg tertera no respon",1
Memudahkan daLam penguRusan suRat2,5
Kalau mengurus surat Cerai mati apakah harus pakai surat kematian karena meninggalnya di Jakarta bersama Istri barunya,5
"Bagus semakin baik pelayanan,istimewa jogja kota",5
Baik,5
👍,5
"Sejauh ini baik. Tp barusan sy coba utk daftar antrian puskesmas, mau upload foto data diri, lgsg close sendiri app nya. Knp ya? Tolong dong..",4
"mas, kok sok njepat dewe. dadak dudul meneh. sing pinisepuh hpne wis jadul2 je.. yen bisa digawe luwih entheng nggih. nuwun",4
Tidak membantu sama sekali....payah,1
Pelayanan yang berbelit belit dan plinplan....,1
Mau update malah mandek ditengah jalan alhasil macet,3
Top👍,5
"Memotong mata rantai birokrasi yang berbelit-belit. Jos gandos, mantap jiwa.",5
Membalas pesan Membuat pengaduan Hampir semua tidak bisa diakses dengan keterangan hanya untuk warga kota jogjakarta.. Padahal dengan jelas data yg saya punya untuk mendaftar juga ktp kota jogja.. Mohon diperbaiki,1
Ya baik,5
"Sangat Membantu ,, Bagus Sekali😀",5
Good,5
"Mosok warga luar kota jogja, ndak bisa mendaftarkan ortu yang tinggal di kota mau periksa di puskesmas kota",1
Apik neh Nek hp jadul Yo iso lancar. Mesakke para pinisepuh sing hp ne kalah karo anak putune,4
Mantap,5
Aplikasi yang sebenarnya bagus dan bermanfaat. Sayangnya tidak ada panduan untuk pengguna baru.. Pernah saya membuat aduan lewat aplikasi jss dan baru pertama kali membuat aduan. Setelah seharian saya tunggu tunggu kok aduan saya tidak tampil ke publik. Ternyata aduan saya dirahasiakan. Mohon untuk semua aduan itu ditampilkan ke publik tidak ada opsi dirahasiakan. Saya percaya pemangku pemangku di kota yogyakarta ini orang orang yg bijaksana. Jadi transparan aja tidak perlu dirahasiakan.,3
Diinstal susah banget..bolak balik ke menu..setelah terinstal aplikasinya tidak muncul di layar hp,3
"Mejadi Keira RT, 13/04 sidomulyo never regal rejoice yogyakarta",5
"Cara ganti RT RW di data pribadi di profil begimana ?? Gak bisa di klik ,gak bisa diganti ,,",2
"Aplikasi ini sangat bermanfaat, akan tetapi ketika saya akan mengklik layanan dukcapil terkhusus pembuatan akta tidak bisa diklik atau tidak tersambung ke webnya... Entah hape saya yang bermasalah atau bagaimana? Mohon pencerahannya.",5
"Saya sangat senang dgn aplikasi ini. Saya sdh merasakan manfaatnya. Berharap seluruh kota d Indonesia punya aplikasi seperti ini yg bisa mengatasi pungli. O iya, selama ngurus surat d Kota Jogja, saya tdk pernah temui pungli. Sangat puassss...🙏🙏",5
"Layanan daftar online, tapi jam kerja cuma sampai jam 12.00, selebihnya ditolak. Nek males, golek penak, rasah kerjo sisan wae mas. Turu wae ning omah penak.",1
Bagus,5
"Kenapa pas permohonan ektp buat yg domisili ktp luar jogja tdk bsa sya cmn mau nunut Cetak ulang krna ktp sya rusak dn itu ktny tdk bsa hrus di tmpt kta tinggl sehrus ny bsa lhoo mnrut pak zudan tp dilapangan nyatanya diputar""",1
Sangat membantu informasi ter apdet.,5
Semoga bermanfaat,5
Semoga bermanfaat,5
Banyak sistem yang belum bisa di akses.. Padahal sangat membantu,5
"Aplikasinya bagus tapi, Kurang memuaskan karna akses layanan sy ditolak padahal saya sudah menjadi warga Jogja. Walaupun saya hanya warga pendatang. Tetapi saya sudah mencabut berkas dari daerah asal dan seluruhnya menjadi warga Jogja. Akses Layanan Akte kelahiran juga susah, padahal saya adalah ibu kandung masa harus lampiran surat kuasa. Tolong upgrate lagi Aplikasinya agar lebih baik lagi. Trima kasih",3
Ok,5
Sangat bermanfaat dan membantu.,5
"Mengurus kepindahan KTP saja dipersulit dan diarahkan aplikasi yg sepertinya tidak siap, niate online malah ora efektif",1
Ok ok ok ok,5
"Aplikasinya sangat bermanfaat, tapi sayangnya sampai detik ini msh ada beberapa menu yang tidak berfungsi padahal sebelumnya berfungsi seperti menu Kependudukan dan catatan sipil dan pendaftaran vaksin. Minta tolong utk diperbaiki. Terimakasih",5
pengaduan selalu di respon,5
"Aplikasinya bagus banget,,saya KTP luar jogja bisa vaksin di RSUD wirosaban, petugasnya ramah-ramah semua, rumah sakitnya Bersih dan Nyaman..terimakasih",5
Aplikasi rusak,1
"Saya sdh wa utk perubahan C1 sdh seminggu perubahan nya blm jg dikirim baik lewat wa atau email, saya komplain lewat wa yg sama ttp tdk ad respon. Terpaksa saya dftar lg utk perubahan ktp dan c1 lg.... lwat fitur jss pun jg akhirnya wa lg dan wa lg ... seperti muter2 saja.",1
Ok,5
"PELAYANAN DAN INFORMASI YANG BERBELIT MENYUSAHKAN WARGA. APALAGI URUSAN VAKSIN.. INFONYA KURANG JELAS DAN KURANG TRANSPARAN. JADWAL VAKSIN SMS SUDAH DITEPATI MALAH DISURUH PULANG SAMA PETUGAS ALASANNYA JADWAL VAKSIN DIUNDUR, TANPA INFO SEBELUMNYA. PELAYANAN KARYAWAN NEGARA DARI DULU MEMANG KURANG PROFESIONAL. MESAKNE PAK JOKO, BAWAHANE KOYO TELO",1
Baik,5
"Lambat, pake kuota maupun wifi",5
"Pelayanan KTP tdk bisa di klik, layanan WA tdk ada respon, Tanya ke Balai Kota diarahkan lagi ke Jss... Padahal Aplikasinya selalu error",1
"Aplikasi membantu sekali..hanya kurang opsi perbaikan jika ada syarat yg kurang.....namun petugas juga tidak lengkap jika ada kekurangan berkas permohonan. Saya sampai submit permohonan 3x karena kekurangan berkas yg tidak sekalian ditulis di catatan,",4
Lumayan ? ? ?,1
Bintang 3 Dulu.. Kok gk bs Daftar Vaksin ya?? Katanya bs dipake tgl 10 Juli.. Ini dh tgl 04 Oktober.. Gimana cara nya??,3
Oke,5
Warga Jogja dikasih vaksin yg biasa (sinovac) warga non jogja malah di kasih vaksin yg bagus (moderna). Sangat memihak 👎👎👎,2
"Daftar vaksin disini berasa ditipu. Ditulisnya Astrazenica, sampai lokasi malah dikasih coronavac",1
Ok,5
"Saya langsung beri bintang 5 tanpa basa basi, dari awal proses instalasi aplikasi, pengajuan permohonan, sampai pengambilan dokumen yang sudah jadi berjalan lancar tanpa kendala, permohonan perubahan KK secara online lsg jadi kurang dari sehari dengan pencetakan mandiri,permohonan KTP perubahan lsg jadi kurang dari setengah hari dan lsg bisa diambil ke loket mall pelayanan publik di balaikota Timoho..ada baiknya sebelum mengajukan permohonan yg diinginkan dpt disiapkan dokumen² pendukung.",5
Bagus sekali,5
BELUM PROFESIONAL,1
ra mutu,1
Layanan WA HelpDesk tidak ada respon dan Tidak ada manfaatnya mencantumkan nomor WA kalau tidak ada jawaban.,1
Ikutan rating jelek aja,1
Agak susah sinyalnya,3
Fake,1
Ribet.enak langsung datang ke kecamata selesai,1
Aplikasi apaan sih ya. Mau daftar vaksin susah. Diberinpetunjuk WA tp tdk direspon 😂😂,1
Nice,5
KENAPA SAAT AKU MAU MASUK KE APK KADANG KADANG GAK BISA . TOLONG DI PERBAIKI YA,2
Bagus,5
Mohon maaf ini kenapa aplikasi nya tidak bisa digunakan ya? Saya pencet apapun yg ada di menu tidak bisa. Mohon bantuannya.,2
Bagus👍👍👍👍👍👍👍,5
Kok ga bisa didownload yaa????,1
Aplikasinya menurut ku simpel dan pendaftarn tgl ikuti arahan ..pas sampe lokasi lgs gercep..g sample setengah jam lgs dpt giliran,5
Jss memang oke,5
Di klik go bisa2,1
Mantap,5
"Kl blm siap dgn sistem online, mending g usah aja.. jujur ini malah lbh lama dan menyulitkan proses nya.. bukannya Simple or praktis tp mlh ribet.. hrs d wa dl petugasnya.. ujungnya suruh isi ulang.. dah lah.. dasar negara berflower.. birokrasi nya emg g bs berubah.. harusnya sih bintang 0 saja.. serius.. ini blibet bgt.. g guna layanan aplikasi onlen ini.. dua bulan coyy ngurusnya.. makan ati.. mending makan ati asli.. ini gawe dongkol",1
"Tolong untuk info pendaftaran vaksin diberi keterangan DOSIS KE BERAPA, agar tidak bingung, TERIMAKASIH",4
"Aplikasi kurang protektif untuk pengguna.... 1. Mau masuk daftar login no nik / usser name angka yg sesuai identitas sya kok bisa sudah dipakai orang lain,, seolah data pribadi kita bisa diliat di aplikasi ini 2. Sya yg asli malah gak bisa daftar karena dipakai pengguna lain, disuruh masukan nik yg lain, tpi malah muncul identitas oramg lain lagi, hadeuhhhh",1
Bintang 3 dlu soalnya pernah daftar bikin surat kematian gak ada notifnya. Semoga yang ini bisa kalau bisa tak kasih bintang 5. Segera direspon gih soalnya kami kaum awam masihh bingung blong koplong,3
Sangat membantu masyarakat 👍🏽,5
Mau daftar dan login aja susah nya minta ampun!,1
"Aplikasi bagus, tapi tolong dibuat lebih simple, niatnya mau canggih tapi malah bikin emosi masal. Karena gak semua orang mudah memahami aplikai ini. Buat it nya selamat kerja keras, kalau tidak sanggup silahkan mundur biar diganti yang lain yang lebih siap.",1
Bagus,4
"MANTAP,semua pelayanan bisa jadi satu aplikasi 👍",5
"Provinsi dengan UMR kecil di Indonesia ,urusan birokrasi harus pakai aplikasi,tapi aplikasi nya bobrok, register lama,sudah register gk bisa login,,,lebih bagus dan cepat aplikasi pinjol.... mendingan dana bikin pager alun-alun buat gaji IT yg bisa bikin aplikasi bagus dan mudah buat rakyat dan mudah di gunakan, untuk yang muda aja susah memakai nya,gmn orang tua yang sepuh2...",1
"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",1
Mau ngurus surat kematian buat orangtua aja dipersulit sebenernya ni app bisa digunain gk si masa gagal muluk udh pake wifi jg gagal admin wa dichat jg kerjaannya nge read doang sebenernya pd kerja gk karyawannya digaji cuman buat bisu?,1
Scan eror. Abis di scan lgsung freeze,4
"Rasah gawe aplikasi !!!!! Kemaren disuruh kelurahan KTP gnti stts suruh wa sesuai templekan neng nduwur ,udh wa smpe hrus klik link ikt antri udh dtggu jawabane trnyta ZONK ,owlah suruh lwt aplikasi ini !!!!!,dlu aja lwt wa lebih enak kenapa lwt aplikasi ,aplikasinya aja jelek bgt !!!!! Cri vaksin aja gak prnh dpt akhire lwt RT ,sistem bobrok skali gais !!!",5
"pelayanan khusus warga jogja KOTA saja.. beda deskripsi sama di w.a (helpdesk) tertera ""melayani vaksinasi luar kota"" padahal saya hanya beda kabupaten saja",1
"Semua diarahkan ke aplikasi , sedangkan aplikasi belum siap , saya daftar vaksin tidak ada pemberitahuan sms, ada pemberitahuan lewat aplikasi tapi di sore hari hari , padahal vaksinnya siang , trus untuk penjadwalan ulang vaksin kapan ? Diaplikasi untuk pembatalan tiket vaksin aja tidak ada respon sudah ada 1 minggu. Trus saya jadi tidak bisa ikut vaksin di lain tempat , tolong ini min direspon",1
Gak bisa daftar akun kok minta update. Susah banget daftar akun. Padahal penting banget. Ya weslah...,1
"Gak pernah bisa masuk, pusing sampek an .. ini sebenarnya bisa di pake gak sih???",1
"Bagian ""pendaftaran vaksin"" memang tdk bs diklik kah?",2
"applikasi percuma sebagai apa cuman di lempar lempar kan ke link lain , data masih belum akurat",1
Saya mau daftar vaksin kok Gk bisa tlg dibantu...,1
Good,5
Jss Jos tenin,5
Sangat terbantu saat pendaftaran vaksinasi covid19,5
Jss dangat mendukung nagi warga jogja untuk mengetahui informadi seputar kota,5
Ok banget warga jadi tahu info nya,5
"Kenapa saya pakai Aplikasi di android redmi note 10 pro tp utk fitur pendaftaran vaksinasi tidak bisa saya akses, tp kalau masuk dr smartphone yang lain bisa",1
Pelayanan sangat baik,5
Gila parah bgt daftar buat ngurus perubahan data aja lama bgt dah dicoba sampek berkali kali tetep aja gak bisa padahal udah pake wifi sampe 2hari parah bgt sampek dateng ke balkot juga ttep gak bsa harus pake jss astagaa gak kelar2 urusan,1
Kok jadi susah ya,1
Ealah,1
Sangat bermanfaat,5
"App OP bangat , selalu gak bisa di pake🎉",2
Sudah memakai jaringan yang cepat pun pemuatan aplikasi masih sangat lambat. Tolong diperbaiki,2
Fitur pendaftarqn vaksinnya gak bisa diklik... udah dicek secara berkala juga tetep gak bisa.. atau memang untuk ktp luar jogja gak bisa daftar vaksin lewat aplikasi ini ???,1
Ok,5
Kurang bagus...,2
Pendaftaran vaksin tutup trs......,1
"Ngurus akta kematian dipersulit... Datang langsung ke dukcapil, disuruh daftar dulu lewat jss.. ini maunya gimana? Sedangkan jss sendiri banyak masalah... Bayar yg banyak gih buat developer nya.. biar kerjanya bener.",1
apa ini ? buang2 kuota internet,1
"mau daftar vaksin buat adik saya di aplikasi jss udah login udah klik tombok vaksinasi suruh daftar lewat wa,nah udah di wa malah di suruh daftar lewat aplikasi jss lagi.buka aplikasi jss juga sering eror eror terus njok masyarakat kon kepiye?saya sebagai warga sangat kecewa dengan aplikasi jss bukannya mempermudah masyarakat melainkan malah mempersulit.mohon lebih di perbaiki lagi.sekian kritikan dari saya semoga di lihat di dengarkan dan di laksanakan untuk perbaikan aplikasinya.Matur Suwun🙏",1
Aneh,1
"Aplikasi Bagus, mungkin bisa cari penyedia layanan hosting yang lebih baik dan ternama agar tidak terjadi down ketika banyak user yang akses",3
"Aplikasi yang bukan aplikasi, melainkan shortcut menuju web adress yang diarahkan melalui browser.",1
"Aku gak instal dulu, soalnya dr reviewnya aja aplikasi ini belum beres",1
Terimakasih,5
Tjakep,5
"Lek tulong, daftar baru trus udah dapet link tp bar di klik loading terus""an, gaiso login njuk nek arep ngurus opo"" kudu login. Njuk aku nginstal iki gunane kur ngebaki memori?",2
👌👌👌👌👌👌,5
Sering trouble,1
Oh iya ternyata ada info untuk lokasi vaksinasi plus ada fitur untuk daftar dan boking. Aku kurang informasi 😅,4
Penanganan cepat tapi tingkatkan lagi biar lebih baik,5
Kode aktivasi ga dikssih2 ki piye to?,4
Aplikasinya bagus dan bermanfaat banget..semoga Kang Admin sehat selalu.,5
Prek apl eror eror buat aplikasi yang bener nunggu kelamaan as buh. Gimama Indonesia dan jogja mau maju jika seperti ini,1
"Untuk mengurus akta kematian saja, ribetnya minta ampun... Diulang berapa kalipun tetap ujung-ujungnya gagal",2
Mantap aplikasi dan pelayanannya...saya rubah data ktp satu hari kerja selesai dan esok hari tinggal ambil ktp di mall pelayanan publik timoho..mantap pokoke,5
Kecewa banget. Error apa gimana gatau...pas klik pendaftaran vaksin (sebelum daftar) bisa trs kalau mau masuk harus punya akun dulu. Pas udah daftar akun gabisa di klik dong...kesel banget...kukira ngaruh sama jam mulai pukul 8 ternyata sama aja,1
Percuma.. tdk bisa dipakai.. selalu error.. dihubungi ke no helpdesk(WA) tdk ada respon.. dibacapun nggak.. jogja mmg istimewa??? Auto delete..,1
Rasis sekali vaksin kebanyakan nik JOGJA tidak adil buat pendatang KALIAN TIDAK ADA WARGA PENDATANG WISATA & PENDIDIKAN KALIAN TIDAK AKAN BERKEMBANG INGAT!,1
Jos,5
Coba dululah...,3
"Aplikasi bagus, sangat membantu",5
Udah download mau login aja susah banget... aplikasi ga guna..,1
"Lemot parah , mau daftar vaksin sulit.",1
Sama sekali tdk mmbntu..,1
Mantab,5
Susah login pendaftaran vaksin,1
Bisa membantu kalau ada kerusakan,5
"mantab dech,, sangat membantu",5
"Sama sekali tidak ada manfaat,kemudahan dan ke simple an, malah bikin ruwet,mau daftar vaksin aja ruwetnya ampuuun..gak pernah di update. Perbaiki dulu dan bener2 profesional kalau mau bikin aplikasi. Maaf bintang 1 aja deh",1
Good programs ...,4
Saya Jafar Nurrohman tunanetra dari Jogja Mohon maaf untuk Jogja Smart Service untuk tunanetra sangat tidak membantu karena banyak sekali fitur-fitur yang tidak di bisa dibuka oleh layanan t a l k b a c k demikian harap dijadikan Pirsa dan Mohon untuk diperbaiki dan disempurnakan kembali,1
"Aplikasi yg sangat membantu dan memudahkan masyarakat untuk urusan"" Penting",5
"Dan pada intinya untuk pengurusan surat di kelurahan/kecamatan tetep menggunakan surat fisik yg akhirnya 2x kerja. Klo memang kepengurusan surat menyurat tidak bisa pake aplikasi ataupun aplikasi belum bisa bekerja secara maksimal tolong di jelaskan detail untuk yg sudah terlaksana atau belum terlaksana itu pengurusan surat apa saja agar ""JELAS"". Biar tidak bikin rancu 2x kerja, jelaskan juga syarat syarat yg harus di upload di aplikasi apa saja itu baru smart service.",1
"Wah gila sih, ga sampe sehari ganti ktp rusak ga pake ribet urus lewat apps tinggal ambil 👍👍",5
Aplikasi RIBET!!!!Urusan gampang malah dadi rumit...ganti wae wong2an e,1
Baik,5
Gabisa umum,2
Sangat terbantu sekali oleh aplikasi JSS,5
Sangat bermanfaat bagi masyarakat,5
Bagus,5
"Ngurus ktp sejak tanggal 24 juni sampai tanggal 7 juli belu jadi proses ribet sekali ,, bikin ribet malah bikin lama prosesnya",1
Oke,5
",, yg j",5
"Hebat sekali pelayanan publik dukcapil kota jogja!!! Untuk penggantian KTP rusak melalui JSS dibutuhkan waktu 3 hari lebih, benar benar MAKAN GAJI BUTA. sekedar perbandingan saja penggantian KTP rusak di drivetrue dibutuhkan waktu 10 menit. Lewat aplikasi JSS dibutukan waktu 6X24 jam. Memang yang dilayani bukan hanya saya tapi apa juga selama itu juga proses pengajuan saya???!!!!",1
"Saya hendak mengajukan Pembuatan Kartu Pencari Kerja, tetapi setelah selesai mengisi biodata saya dan akan melanjutkan pengisian pendidikan formal namun masih terkunci dan tidak bisa dibuka sama sekali dengan kondisi tombol masih merah belum hijau.",5
Bagus & informatif,5
Kok presensi hilang jeh,5
Gagal trs di proses akhirnya .sulit bgt,3
"Mau update data perkawinan ya Allah ampe dari bulan lalu dicoba trus g bisa , masukin foto kk dll g bisa 😣 pusing aing",1
Tak Perlu Ragu Jadi Profesional & Jangan lupa bahagia hari ini...,5
Saya ingin buka jogja smart service dengan cepat,5
Susah masuk,5
"Mental terus ke beranda, nganti kesel sik ngetik mbolan baleni terus",1
"Aplikasi tujuannya mempermudah petugas kerja bukan mempermudah masyarakat,di masyarakat tersebar ngurus ktp rusak mudah,dengan lewat drivthru aja bares,tp bukanya drivthru itu tidak turun dari kendaraan to,tapi kenapa harus lewat aplikasi JSS???????🤔🤔🤔🤔🤔🤔🤔🤔",1
Daftar aja lemot😡😡😡,1
"Parah,gagal terus di akhir proses",1
Aplikasi belum maksimal,1
"update jss versi 3.0.123 terbaru wifi free hotspot tidak berfungsi d imanapun ,tolong diperbaiki",1
Pelayanan tidak memuaskan malah makin lama,1
"mau registrasi aja lama,dari pagi sampe siang masih aja dlm proses",3
"Ini mau daftar KTP malah nge direct ke website, tapi di website diarahkan lagi untuk daftar via aplikasi... Mubeng2 jal",1
Gimana cara login WiFi free hospotnya?,4
"Harusnya online itu mempercepat,mempermudah bukan malah memperlambat.. saya rasa lebih cepar manual nyiapin berkas ambil nomer antrian di serahkan dah selesai.",1
oke punya,5
Bagus,5
Setelah diupgrade malah tidak bisa dibuka...hapus saja tidak bermanfaat menghabiskan kouta saja😬😬,1
Ini kok fitur nya membingung kan ya ... Loading nya lama bgt trs kurang jelas juga ..,2
Masih bagus sama aplikasi sebelumnya. Diupdate malah makin eror..,1
Membantu masyarakat dalam layanan kependudukan dll,5
Bagus,5
Ok,4
Payah... Setelah diupdate malah nge lef terus,1
"Tolong dong dibikin widget buat presensi online nya, biar langsung dapat diakses di home screen. dan satu lagi tampilan home nya jangan berat2, hp kentang jadi lemot makasih... #karyawanpemkot",2
"Update aplikasi terbaru malah susah untuk digunakanpelaporan pajak parkir, cetak kode bayar tidak bisa berjalan.",2
Aplikasi satu untuk semua,5
Semoga kota Jogja semakin maju,5
Makasih banyak,5
"Update terbaru (2 juni 21), aplikasi lemot, daftar antrian puskesmas mental ke halaman beranda saat upload bpjs. Mohon di benahi. Maturnuwun",1
terlalu lamban,1
Bagus,5
"Kini, semua bisa dalam genggaman. Maju terus kota Jogja ❤",4
Jos,5
memudahkan urusan,4
Bagus dan sangat membantu.. Sejauh ini belum ada kendala dalam pengguan aplikasi :),5
Aplikasi ini sangat membantu,5
App yg informative dan membantu warga Jogja.,5
Gmn si ni apl tiap login ke wifi gk bisaaa,3
aplikasi marai mumet... meng arep ndelok nomor kk we mubeng minger...,5
Aplikasi yg memberikn Pelyanan kpd Pegawai & masy kota yk,4
Gak bisa login,1
Semog lancar apa yang saya harapkan,5
Mantul,5
brsan update..... cm untuk edit akun profil..ko blm bisa...mohon dilengkapi,4
Membantu,5
Bagus,5
Bagus perlu pengembangan kemudahan update,5
Sangat membantu dan memudahkan warga jogja untuk menikmati fasilitas serta pelayanan dari pemerintah jogja. Trimakasih,5
"iki piye tho dab .,, arep mlebu di jaluki nomer NIK,trus omonge nomer NIK durung kedaftar,,pas daftar nganggo nomer NIK omonge nomer NIK sudah terdaftar., Diwolak walik tetep ra dadi Bagus,, tapi tidak bisa mendaftar,, setiap kali mengisi form pendaftaran dengan nomer NIK sampai selesai, selalu ada pemberitahuan kalo sudah daftar,, tapi kalo masuk langsung dengan no NIK pemberitahuannya bahwa nomer anda sudah terdaftar,, padahal saat pendaftaran selalu gagal,, Aplikasi ne iseh uji coba po yo?",5
Bagus sekali,5
Menarik,5
Mantap...!!!,5
Mantap,5
Sangat mendukung pejerjaan,5
sangat membantu,5
Sangat bermanfaat,5
"Gimana ini aplikasi buat laporan tdk bisa, lebih simpel yg dulu buat laporan gampang mohon diperbaiki",3
Bermanfaat,5
Kenapa free hotspot skrg gabisa login,1
"Menu laporan saya tidak berfungsi ,tidak ada data muncul",5
Wait,5
Istimewa,5
Ok sipp,5
Josss...mantap aplikasinya sangat bermanfaat,5
TRASHHHHHHHHHHH,1
Jos sangat membantu,5
Sangat membantu untuk masyarakat,5
Jozzzzz...,5
Bagus,5
Sangat Dibutuhkan Warga Yogyakarta,5
Layanan masyarakat,3
Memuaskan,5
Sangat membantu masyarakat jogja,5
"Unggah foto ktp buat pendaftaran kartu kuning kok ga bisa i piye? Mohon dijawab, terima kasih",4
sangat mudah,5
Jossss,5
Bgus,5
Love it,5
Bagus,5
Good,5
aplikasi nya kurang bagus karena tidak bisa pakai wifi,1
"3 dulu y, soalnya pengen cari WiFi yg terhubung selalu miss atau di Maps ad, di tempatnya g ada",3
Keren...,5
Telah memperlancar komunikasi,5
Mantul alias mantap betul,5
Top bgt,5
Mantapp,5
"Keren, ringan di HP lawas juga fungsinya yg luar biasa. Bbrp kali mau daftar RS Pratama error pdhl nunggu lewat jam 00 agar kebagian, tapi setelah dicoba secara berkala lalu bisa. Goodluck untuk depelopnya, sehat terus untuk kita semua. Semoga ga error2 lagi. Trims",5
Ok,5
keren dan sangat membantu,5
sangat membantu. usefulllll,5
Api tenan,5
Bagus,5
